opcode,api,permissions,score,feature_importance_unobf,stability_change,ranking
,getBestProvider_call,,0.020585845854638636,0.0228731620607096,0.0228731620607096,1
,set_call,,0.01877225901659428,0.020858065573993646,0.020858065573993646,2
,setRegistrationListener_call,,0.0184483523029181,0.02049816922546456,0.02049816922546456,3
,buildSourceUri_call,,0.014419019699871824,0.016021132999857583,0.016021132999857583,4
,sendMultimediaMessage_call,,0.01383720489408157,0.01537467210453508,0.01537467210453508,5
,getMessageBody_call,,0.013176152714375064,0.01464016968263896,0.01464016968263896,6
unused_freq,,,0.012449391020565189,0.013832656689516876,0.013832656689516876,7
invoke-custom_freq,,,0.01222399814450149,0.013582220160557212,0.013582220160557212,8
,newSetOperation_call,,0.01207098497939489,0.01341220553266099,0.01341220553266099,9
iget-byte_freq,,,0.00923262084921925,0.010258467610243611,0.010258467610243611,10
sget-boolean_freq,,,0.009119943133564623,0.010133270148405139,0.010133270148405139,11
instance-of_freq,,,0.008233909339944761,0.009148788155494178,0.009148788155494178,12
neg-int_freq,,,0.008110628763817318,0.009011809737574799,0.009011809737574799,13
,getHeaderField_call,,0.008026094191154992,0.008917882434616657,0.008917882434616657,14
add-long/2addr_freq,,,0.007882583542061243,0.008758426157845826,0.008758426157845826,15
,sendBroadcastAsUser_call,,0.007488637740543128,0.008320708600603475,0.008320708600603475,16
aget-short_freq,,,0.007356970245738354,0.008174411384153727,0.008174411384153727,17
iput-boolean_freq,,,0.007154889812537037,0.007949877569485597,0.007949877569485597,18
,create_call,,0.007111955069512089,0.007902172299457878,0.007902172299457878,19
iput-wide_freq,,,0.007029505652919249,0.007810561836576944,0.007810561836576944,20
,exec_call,,0.0069318059697444315,0.007702006633049369,0.007702006633049369,21
iget-short_freq,,,0.0067328652769404855,0.0074809614188227624,0.0074809614188227624,22
,finish_call,,0.006547701592141822,0.007275223991268692,0.007275223991268692,23
const/16_freq,,,0.006544849380982894,0.007272054867758771,0.007272054867758771,24
aget_freq,,,0.006512024170764545,0.007235582411960605,0.007235582411960605,25
,setTag_call,,0.006470233629854873,0.0071891484776165256,0.0071891484776165256,26
,cancel_call,,0.006284111871314848,0.006982346523683164,0.006982346523683164,27
sput-char_freq,,,0.006085412172242895,0.006761569080269884,0.006761569080269884,28
,getEvdoSnr_call,,0.00607331918118849,0.006748132423542767,0.006748132423542767,29
aget-boolean_freq,,,0.0058231032528585115,0.006470114725398346,0.006470114725398346,30
const/high16_freq,,,0.005822984945929044,0.006469983273254494,0.006469983273254494,31
const_freq,,,0.005757258914612415,0.006396954349569351,0.006396954349569351,32
if-lt_freq,,,0.005616090369794187,0.006240100410882431,0.006240100410882431,33
unused_freq,,,0.005580554051483655,0.006200615612759617,0.006200615612759617,34
shr-int/2addr_freq,,,0.0054638404408350605,0.006070933823150068,0.006070933823150068,35
and-int/2addr_freq,,,0.005404802475440361,0.006005336083822624,0.006005336083822624,36
,markAsContacted_call,,0.005343800005097523,0.00593755556121947,0.00593755556121947,37
aget-byte_freq,,,0.005332475122778916,0.00592497235864324,0.00592497235864324,38
mul-long/2addr_freq,,,0.005160376690338909,0.005733751878154343,0.005733751878154343,39
double-to-float_freq,,,0.005144262899621678,0.005715847666246309,0.005715847666246309,40
,printStackTrace_call,,0.005028633971432999,0.005587371079369999,0.005587371079369999,41
,toMillis_call,,0.004987995183828971,0.005542216870921079,0.005542216870921079,42
new-array_freq,,,0.004851494468453695,0.005390549409392994,0.005390549409392994,43
add-int/lit16_freq,,,0.004822539982806223,0.005358377758673582,0.005358377758673582,44
sget_freq,,,0.004790449447838909,0.005322721608709899,0.005322721608709899,45
throw_freq,,,0.004765994060103681,0.005295548955670757,0.005295548955670757,46
monitor-enter_freq,,,0.004531027284973665,0.00503447476108185,0.00503447476108185,47
,getProvider_call,,0.004503027342192099,0.0050033637135467775,0.0050033637135467775,48
iget-wide_freq,,,0.004496630264545009,0.004996255849494455,0.004996255849494455,49
move-object_freq,,,0.004477556227686637,0.004975062475207375,0.004975062475207375,50
,divideMessage_call,,0.004466278570652778,0.004962531745169754,0.004962531745169754,51
,getAddress_call,,0.004451697131846581,0.004946330146496201,0.004946330146496201,52
move-result-wide_freq,,,0.004394301017036785,0.004882556685596428,0.004882556685596428,53
mul-double/2addr_freq,,,0.004392742568109846,0.0048808250756776075,0.0048808250756776075,54
,byteValue_call,,0.004252148876128208,0.0047246098623646765,0.0047246098623646765,55
int-to-double_freq,,,0.004229300440305726,0.004699222711450807,0.004699222711450807,56
aput-short_freq,,,0.004187123691987467,0.004652359657763853,0.004652359657763853,57
sub-long_freq,,,0.004158659222253414,0.00462073246917046,0.00462073246917046,58
shl-int/2addr_freq,,,0.0041554671724407174,0.0046171857471563535,0.0046171857471563535,59
const-wide_freq,,,0.003966652523916366,0.004407391693240408,0.004407391693240408,60
if-eqz_freq,,,0.0038964031814673326,0.004329336868297036,0.004329336868297036,61
const-wide/32_freq,,,0.0038737232317946667,0.0043041369242162964,0.0043041369242162964,62
rem-int/lit16_freq,,,0.0038703761684556,0.004300417964950667,0.004300417964950667,63
