Feature,Ranking
nop_freq,1
move_freq,2
move/from16_freq,3
move-wide_freq,4
move-wide/from16_freq,5
move-object_freq,6
move-object/from16_freq,7
move-result_freq,8
move-result-wide_freq,9
move-result-object_freq,10
move-exception_freq,11
return-void_freq,12
return_freq,13
return-wide_freq,14
return-object_freq,15
const/4_freq,16
const/16_freq,17
const_freq,18
const/high16_freq,19
const-wide/16_freq,20
const-wide/32_freq,21
const-wide_freq,22
const-wide/high16_freq,23
const-string_freq,24
const-class_freq,25
monitor-enter_freq,26
monitor-exit_freq,27
check-cast_freq,28
instance-of_freq,29
array-length_freq,30
new-instance_freq,31
new-array_freq,32
filled-new-array_freq,33
fill-array-data_freq,34
throw_freq,35
goto_freq,36
goto/16_freq,37
packed-switch_freq,38
sparse-switch_freq,39
cmpl-float_freq,40
cmpg-float_freq,41
cmpl-double_freq,42
cmpg-double_freq,43
cmp-long_freq,44
if-eq_freq,45
if-ne_freq,46
if-lt_freq,47
if-ge_freq,48
if-gt_freq,49
if-le_freq,50
if-eqz_freq,51
if-nez_freq,52
if-ltz_freq,53
if-gez_freq,54
if-gtz_freq,55
if-lez_freq,56
aget_freq,62
aget-wide_freq,63
aget-object_freq,64
aget-boolean_freq,65
aget-byte_freq,66
aget-char_freq,67
aget-short_freq,68
aput_freq,69
aput-wide_freq,70
aput-object_freq,71
aput-boolean_freq,72
aput-byte_freq,73
aput-char_freq,74
aput-short_freq,75
iget_freq,76
iget-wide_freq,77
iget-object_freq,78
iget-boolean_freq,79
iget-byte_freq,80
iget-char_freq,81
iget-short_freq,82
iput_freq,83
iput-wide_freq,84
iput-object_freq,85
iput-boolean_freq,86
iput-byte_freq,87
iput-char_freq,88
iput-short_freq,89
sget_freq,90
sget-wide_freq,91
sget-object_freq,92
sget-boolean_freq,93
sget-byte_freq,94
sget-char_freq,95
sget-short_freq,96
sput_freq,97
sput-object_freq,98
sput-boolean_freq,99
sput-byte_freq,100
sput-char_freq,101
sput-short_freq,102
invoke-virtual_freq,103
invoke-super_freq,104
invoke-direct_freq,105
invoke-static_freq,106
invoke-interface_freq,107
unused_freq,108
invoke-super/range_freq,109
invoke-static/range_freq,110
invoke-interface/range_freq,111
unused_freq,112
unused_freq,113
neg-int_freq,114
not-int_freq,115
neg-long_freq,116
not-long_freq,117
neg-float_freq,118
neg-double_freq,119
int-to-long_freq,120
int-to-float_freq,121
int-to-double_freq,122
long-to-int_freq,123
long-to-float_freq,124
long-to-double_freq,125
float-to-int_freq,126
float-to-long_freq,127
float-to-double_freq,128
double-to-int_freq,129
double-to-long_freq,130
double-to-float_freq,131
int-to-byte_freq,132
int-to-char_freq,133
int-to-short_freq,134
add-int_freq,135
sub-int_freq,136
mul-int_freq,137
div-int_freq,138
rem-int_freq,139
and-int_freq,140
or-int_freq,141
xor-int_freq,142
shl-int_freq,143
shr-int_freq,144
ushr-int_freq,145
add-long_freq,146
sub-long_freq,147
mul-long_freq,148
div-long_freq,149
rem-long_freq,150
and-long_freq,151
or-long_freq,152
xor-long_freq,153
shl-long_freq,154
shr-long_freq,155
