Scope,Family,Accuracy,Precision,Recall,F1-Score,TP,FP,FN,TN,FPR,FNR
Overall,,0.9556269157787184,0.9542861887896457,0.9567607121127993,0.9551566092339868,,,,,,
Per-Family,AdPush,0.9781053860750255,0.9380530973451328,0.9298245614035088,0.933920704845815,1060,70,80,5641,0.01225704780248643,0.07017543859649122
Per-Family,Artemis,0.9975186104218362,0.9831730769230769,0.9963459196102314,0.9897156684815486,818,14,3,6016,0.002321724709784411,0.0036540803897685747
Per-Family,Dzhtny,0.9953291490293388,0.9469026548672567,0.981651376146789,0.963963963963964,428,24,8,6391,0.0037412314886983633,0.01834862385321101
Per-Family,Igexin,0.9951831849365056,0.9841930116472546,0.9883040935672515,0.9862442684451855,1183,19,14,5635,0.0033604527767951893,0.011695906432748537
Per-Family,Kuguo,0.9779594219821924,0.9457167090754877,0.9276206322795341,0.9365812683746324,1115,64,87,5585,0.011329438838732518,0.0723793677204659
Per-Family,Leadbolt,0.9935775799153408,0.9199134199134199,0.9837962962962963,0.9507829977628636,425,37,7,6382,0.005764137716155165,0.016203703703703703
Per-Family,OpenConnection,0.9817544883958547,0.9464882943143813,0.9488683989941324,0.9476768522394308,1132,64,61,5594,0.011311417462000707,0.05113160100586756
Per-Family,SpyAgent,0.9918260108013429,0.9698492462311558,0.8976744186046511,0.9323671497584541,386,12,44,6409,0.0018688677776047345,0.10232558139534884
程序执行时间: 2961.197690963745
