Scope,Family,Accuracy,Precision,Recall,F1-Score,TP,FP,FN,TN,FPR,FNR
Overall,,0.9446796088162313,0.9421150521474497,0.9397868180082394,0.9398752510288635,,,,,,
Per-Family,AdPush,0.9713910378047,0.9253867151956324,0.8992042440318302,0.9121076233183857,1017,82,114,5638,0.014335664335664336,0.10079575596816977
Per-Family,Artemis,0.99722668223617,0.9844124700239808,0.992744860943168,0.9885611077664057,821,13,6,6011,0.0021580345285524567,0.007255139056831923
Per-Family,Dzhtny,0.992847759451175,0.9340909090909091,0.9535962877030162,0.9437428243398392,411,29,20,6391,0.004517133956386293,0.04640371229698376
Per-Family,Igexin,0.9916800467085097,0.9654605263157895,0.9873843566021867,0.9762993762993762,1174,42,15,5620,0.007417873542917697,0.012615643397813289
Per-Family,Kuguo,0.9767917092395271,0.9381270903010034,0.9295774647887324,0.933832709113608,1122,74,85,5570,0.013111268603827072,0.07042253521126761
Per-Family,Leadbolt,0.9891986571303459,0.8744939271255061,0.972972972972973,0.9211087420042645,432,62,12,6345,0.009676915873263617,0.02702702702702703
Per-Family,OpenConnection,0.9823383447671873,0.9455894476504534,0.9542429284525791,0.949896480331263,1147,66,55,5583,0.01168348380244291,0.045757071547420966
Per-Family,SpyAgent,0.9878849802948475,0.9693593314763231,0.8285714285714286,0.8934531450577663,348,11,72,6420,0.001710464935468823,0.17142857142857143
程序执行时间: 1710.2143387794495
