Scope,Family,Accuracy,Precision,Recall,F1-Score,TP,FP,FN,TN,FPR,FNR
Overall,,0.9473069624872281,0.9390521125092001,0.9490657466289771,0.9433968026382518,,,,,,
Per-Family,AdPush,0.9746022478470296,0.9527410207939508,0.8904593639575972,0.9205479452054796,1008,50,124,5669,0.008742787200559538,0.10954063604240283
Per-Family,Artemis,0.9953291490293388,0.9643705463182898,0.9975429975429976,0.9806763285024155,812,30,2,6007,0.0049693556402186515,0.002457002457002457
Per-Family,Dzhtny,0.9929937235440082,0.921161825726141,0.9779735682819384,0.9487179487179488,444,38,10,6359,0.005940284508363296,0.022026431718061675
Per-Family,Igexin,0.9929937235440082,0.9746109746109746,0.9859154929577465,0.9802306425041186,1190,31,17,5613,0.005492558469170801,0.014084507042253521
Per-Family,Kuguo,0.9732885710115312,0.9204448246364414,0.9228130360205832,0.921627408993576,1076,93,90,5592,0.016358839050131926,0.07718696397941681
Per-Family,Leadbolt,0.9893446212231791,0.8744855967078189,0.9725400457665904,0.9209100758396533,425,61,12,6353,0.009510445899594636,0.02745995423340961
Per-Family,OpenConnection,0.9867172675521821,0.9755067567567568,0.9490550534100246,0.9620991253644315,1155,29,62,5605,0.0051473198438054665,0.05094494658997535
Per-Family,SpyAgent,0.9893446212231791,0.9290953545232273,0.8962264150943396,0.9123649459783914,380,29,44,6398,0.004512214096779213,0.10377358490566038
程序执行时间: 1792.9577825069427
