Scope,Family,Accuracy,Precision,Recall,F1-Score,TP,FP,FN,TN,FPR,FNR
Overall,,0.9435118960735659,0.9388941269924915,0.9419212096906402,0.9398815650917512,,,,,,
Per-Family,AdPush,0.9715370018975332,0.9168126094570929,0.9128160418482999,0.9148099606815203,1047,95,100,5609,0.016654978962131837,0.08718395815170009
Per-Family,Artemis,0.994599328565173,0.9567757009345794,1.0,0.9779104477611941,819,37,0,5995,0.00613395225464191,0.0
Per-Family,Dzhtny,0.9924098671726755,0.9254385964912281,0.9590909090909091,0.9419642857142858,422,34,18,6377,0.005303384807362346,0.04090909090909091
Per-Family,Igexin,0.9940154721938403,0.9774624373956594,0.9881856540084388,0.9827947964750314,1171,27,14,5639,0.004765266501941405,0.01181434599156118
Per-Family,Kuguo,0.9724127864545322,0.9341991341991343,0.9052013422818792,0.9194716659565403,1079,76,113,5583,0.013429934617423573,0.09479865771812081
Per-Family,Leadbolt,0.9900744416873449,0.8941908713692946,0.9620535714285714,0.9268817204301075,431,51,17,6352,0.007965016398563174,0.03794642857142857
Per-Family,OpenConnection,0.9839439497883521,0.9612736660929432,0.9450084602368867,0.9530716723549488,1117,45,65,5624,0.007937907920268125,0.05499153976311337
Per-Family,SpyAgent,0.9880309443876806,0.945,0.863013698630137,0.9021479713603819,378,22,60,6391,0.003430531732418525,0.136986301369863
程序执行时间: 1866.1406483650208
